"ename","developer","free_version","openness","cat_name","supported_os","security","area","language","website","open_source","eprice"
SQLite,Dwayne Richard Hipp,False,,OLTP,win+linux+osx,5,on-premise,,,,
SQL Anywhere,SAP,False,,OLTP,win+linux+osx,5,on-premise,,,,
Adaptive Server Enterprise,SAP,False,,OLTP,linux+unix+windows,5,hybrid,C/C++,,0,
Microsoft SQL Server,Microsoft,False,,OLTP,win+linux,5,hybrid,,,,
Oracle,Oracle,False,,OLTP,linux+unix+windows,5,hybrid,Assembly language/C/C++,https://oracle.com/database,0,
MySQL,Oracle,False,,OLTP,win+linux+osx,5,on-premise,C/C++,,1,
PostgreSQL,PostgreSQL Global Development Group,False,,OLTP,win+linux+osx,5,on-premise,C,https://www.postgresql.org/,,
MongoDB,"MongoDB, Inc",False,,KV,win+linux+osx,5,on-premise,C++,,,
Teradata,Teradata,False,,NA,linux+unix+windows,5,on-premise,,,0,
IBM DB2,IBM,False,,NA,linux+unix,5,on-premise,,,0,
HANA,SAP,False,,NA,linux,5,cloud,,,0,
IQ,SAP,False,,OLAP,linux+unix+windows,5,hybrid,,,0,
Redis,,False,,KV,win+linux+osx,5,on-premise,C,,,
ElasticSearch,Apache,False,,KV,win+linux+osx,5,on-premise,Java,,,
Cassandra,Apache,False,,NA,win+linux+osx,5,on-premise,Java,,,
SnowFlake,,False,,NA,win+linux+osx,5,on-premise,,https://www.snowflake.com/,,
Firebird,Firebird Foundation,False,,OLTP,win+linux+osx,5,on-premise,C/C++,,1,
Druid,Apache,False,,NA,win+linux+osx,5,on-premise,Java,,,
Couchbase,Apache,False,,KV,win+linux+osx,5,on-premise,Erlang/C,,,
CouchDB,Apache,False,,KV,win+linux+osx,5,on-premise,Erlang,,,
Scalaris,,False,,NA,win+linux+osx,5,on-premise,,,,
OrientDB,Apache,False,,GR,win+linux+osx,5,on-premise,Java,,,
Neo4j,,False,,GR,win+linux+osx,5,on-premise,Java,,,
HBase,Apache,False,,OLTP,win+linux+osx,5,on-premise,Java,,,
Hypertable,,False,,OLTP,win+linux+osx,5,on-premise,C++,,,
AWS,Amazon,False,,NA,win+linux+osx,5,cloud,,,,
Azure,Microsoft,False,,NA,win+linux+osx,5,cloud,,,,
